ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 30 as a percentage of 150?,50%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 80% as a fraction?,8/10,Does not fully simplify fraction,4/5,1825
Round decimals to three decimal places,Rounding to Decimal Places,What is 12.3456 rounded to three decimal places?,12.345,Believes that rounding must change the number,12.346,322
Convert between cm and mm,Length Units,How many mm are there in 1.1cm?,1100mm,Divides when converting to a smaller unit,11mm,1954
Convert between m and km,Length Units,How many km are there in 900m?,9km,Multiplies when converting to a larger unit,0.9km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/10 - 2/5?,5/5,"When subtracting fractions, subtracts the numerators and denominators",3/10,172
"Solve one-step linear equations requiring addition or subtraction, involving negative fractions",Linear Equations,Solve the equation: x - (2/5) = 1,x = 3/5,"When solving an equation, uses the same operation rather than the inverse.",x = 7/5,1214
"Solve one-step linear equations requiring multiplication or division, involving negative decimals",Linear Equations,Solve the equation: -1.5y = 6,y = 4,Believes dividing a negative by a positive gives a positive answer,y = -4,34
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.09m and height 4cm],3.6 sq cm,Does not convert measurements to have the same units before calculating area or volume,36 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 13cm],19cm,"When calculating perimeter, only adds two sides",38cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 40 as a percentage of 200?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 45% as a decimal?,4.5,Does not understand a percentage is out of 100,0.45,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 7.65 rounded to one decimal place?,7.6,Rounds incorrectly by changing multiple place values,7.7,2330
Convert between cm and mm,Length Units,How many mm are there in 4.7cm?,470mm,Divides when converting to a smaller unit,47mm,1954
Convert between m and km,Length Units,How many km are there in 5500m?,55km,Multiplies when converting to a larger unit,5.5km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 11/12 - 1/4?,10/8,"When subtracting fractions, subtracts the numerators and denominators",8/12,172
"Solve one-step linear equations requiring addition or subtraction, involving positive decimals",Linear Equations,Solve the equation: a + 1.2 = 3.4,a = 4.6,"When solving an equation, uses the same operation rather than the inverse.",a = 2.2,1214
"Solve one-step linear equations requiring multiplication or division, involving negative integers",Linear Equations,Solve the equation: -3b = 18,b = 6,Believes dividing a negative by a positive gives a positive answer,b = -6,34
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 10cm and height 15cm],25cm,"When calculating perimeter, only adds two sides",50cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 50 as a percentage of 250?,5%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 90% as a fraction?,9/100,Does not understand a percentage is out of 100,9/10,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 4.55 rounded to one decimal place?,4.5,Rounds incorrectly by changing multiple place values,4.6,2330
Convert between m and km,Length Units,How many m are there in 0.07km?,7m,Divides when converting to a smaller unit,70m,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/8 - 1/4?,4/4,"When subtracting fractions, subtracts the numerators and denominators",3/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: 13 + a = 21,a = 34,"When solving an equation, uses the same operation rather than the inverse.",a = 8,1214
"Solve one-step linear equations requiring multiplication or division, involving negative integers",Linear Equations,Solve the equation: -4x = -28,x = -7,Believes dividing a negative by a negative gives a negative answer,x = 7,1400
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.06m and height 11cm],6.6 sq cm,Does not convert measurements to have the same units before calculating area or volume,66 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 12cm and height 8cm],20cm,"When calculating perimeter, only adds two sides",40cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 6 as a percentage of 30?,5%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 35% as a fraction?,35/100,Does not fully simplify fraction,7/20,1825
Round decimals to three decimal places,Rounding to Decimal Places,What is 2.7855 rounded to three decimal places?,2.785,Rounds incorrectly by changing multiple place values,2.786,2330
Convert between cm and mm,Length Units,How many mm are there in 8.2cm?,0.82mm,Divides when converting to a smaller unit,82mm,1954
Convert between m and km,Length Units,How many km are there in 7000m?,70km,Multiplies when converting to a larger unit,7km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring addition or subtraction, involving negative decimals",Linear Equations,Solve the equation: y - 2.8 = 1.2,y = -1.6,"When solving an equation, uses the same operation rather than the inverse.",y = 4,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 9a = 72,a = 7,"When solving an equation, uses the same operation rather than the inverse.",a = 8,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 11cm and height 4cm],15 sq cm,Adds when calculating area instead of multiplying,44 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.08m and height 5cm],38cm,Does not convert measurements to have the same units before calculating area or volume,26cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 7% as a decimal?,0.7,Does not understand a percentage is out of 100,0.07,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 3.14159 rounded to two decimal places?,3.141,Rounds incorrectly by changing multiple place values,3.14,2330
Convert between cm and mm,Length Units,How many mm are there in 3.9cm?,3900mm,Divides when converting to a smaller unit,39mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 2/3 - 1/6?,1/3,"When subtracting fractions, subtracts the numerators and denominators",1/2,172
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 3.5x = 21,x = 7,"When solving an equation, uses the same operation rather than the inverse.",x = 6,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 7cm and height 11cm],18 sq cm,Adds when calculating area instead of multiplying,77 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.12m and height 9cm],30cm,Does not convert measurements to have the same units before calculating area or volume,42cm,877
